epoch,train_loss,train_dice,train_iou,train_accuracy,val_loss,val_dice,val_iou,val_accuracy,test_loss,test_dice,test_iou,test_accuracy,seconds,peak_allocated_mb,peak_reserved_mb,power_draw_w_mean,power_draw_w_max,power_draw_w_rms,gpu_util_percent_mean,gpu_util_percent_max,memory_used_mb_mean,memory_used_mb_max,temperature_c_mean,temperature_c_max,gpu_samples
1,0.45151480790016507,0.833581847468699,0.7266280979035408,0.9338707398241899,0.2979678666591644,0.8605457773575416,0.7579545103586637,0.9545062138484075,0.5538489034175873,0.7987251527309418,0.6679640110731125,0.9517288360595703,287.5550610999926,2298.7880859375,2456.0,35.2654914855957,61.529998779296875,35.456058502197266,19.0,95.0,2165.802734375,3825.0,46.19013977050781,49.0,142
2,0.2035018436614371,0.9154970428840382,0.844642056606886,0.9730863533620759,0.39588268756866457,0.8602636548189017,0.7559568790289072,0.9615636972280649,0.8055698456764221,0.7329285688400269,0.5830012255907059,0.9421065940856933,259.2654402999906,676.55078125,864.0,35.7922477722168,45.880001068115234,35.84996795654297,20.596899032592773,94.0,2226.93798828125,2235.0,50.372093200683594,52.0,129
3,0.17326410336556725,0.9269765026456728,0.8642525211797925,0.9767922679270347,0.28571604371070863,0.8925838332909805,0.8078764218550462,0.9683995613685021,0.8214671947956085,0.7431208845376969,0.5967985244989396,0.9430932312011718,260.707985999994,676.55078125,864.0,36.32783126831055,50.97999954223633,36.41902160644531,17.99224853515625,86.0,2235.0,2235.0,43.22480773925781,49.0,129
4,0.1568901904217418,0.933279929198618,0.8752281377165336,0.9788498390377975,0.18593842685222625,0.9173569358312167,0.8494613124774053,0.9748088396512545,0.3917732422351837,0.8587909841537475,0.7542586295604706,0.9650049438476562,267.0472950999974,676.55078125,864.0,39.255836486816406,50.97999954223633,39.38558578491211,21.765151977539062,87.0,2257.477294921875,2355.0,47.73484802246094,51.0,132
5,0.14601253362683722,0.9377070975115919,0.8829732192313577,0.9802515675702433,0.17554080963134766,0.9214924528048589,0.856074530344743,0.9763962672306941,0.38360998821258546,0.8604904005527496,0.7567834310531616,0.9654513969421387,257.9780594999902,676.55078125,864.0,40.017189025878906,45.04999923706055,40.12208557128906,22.5625,99.0,2246.7421875,2259.0,46.234375,52.0,128
6,0.14218779851234037,0.939029750040197,0.8853381848710729,0.9807003839748112,0.16875371158123018,0.9235015373963577,0.8599852048433744,0.9767209566556491,0.3786002789735794,0.8639849636554718,0.7622095577716828,0.9661523971557617,267.6141724999761,676.55078125,864.0,39.28977584838867,44.029998779296875,39.37961959838867,22.398496627807617,100.0,2245.43603515625,2257.0,44.917293548583984,49.0,133
7,0.13576322626515291,0.941620388486254,0.8898951357274544,0.9815237090343566,0.15525564193725586,0.9256387169544513,0.8635487602307246,0.9771389594444861,0.3999652442932129,0.8606454470157623,0.7574385324716568,0.96537308883667,260.41079850000096,676.55078125,864.0,39.94348907470703,45.18000030517578,40.04281997680664,24.13953399658203,84.0,2245.56591796875,2259.0,48.2170524597168,53.0,129
8,0.13327192516970834,0.9425519850310378,0.8915839628206463,0.9818279855833278,0.1885533857345581,0.9243721916125371,0.8611251895244305,0.9781416379488431,0.4790650326609612,0.8483577492237091,0.7390114842653275,0.963282112121582,259.6757668000064,676.55078125,864.0,39.71542739868164,45.880001068115234,39.82889175415039,23.86821746826172,79.0,2245.279052734375,2256.0,43.472869873046875,46.0,129
9,0.13013155333892415,0.9439638914085748,0.8940985842248587,0.9822763138868678,0.16290138840675353,0.9294794843747065,0.8701452291928805,0.9791253896859976,0.5131934534311294,0.8300427820682525,0.7124294140338898,0.9596417503356933,258.40486880001845,676.55078125,864.0,39.358673095703125,45.130001068115234,39.444480895996094,21.7734375,72.0,2247.53125,2256.0,49.09375,52.0,128
10,0.12760948180461998,0.9448675780784427,0.895766678288227,0.9825782944836955,0.4598024296760559,0.8514955318891085,0.743766569174253,0.9604109250582181,0.9597284079790115,0.7248036924600602,0.5738167117834091,0.9407522811889648,257.0126330999774,676.55078125,864.0,39.92417526245117,43.47999954223633,40.010711669921875,23.472440719604492,87.0,2249.149658203125,2258.0,43.622047424316406,46.0,127
11,0.1255336631660452,0.9456782995715854,0.8971600757809136,0.9828034461013914,0.15854193806648254,0.9211952640460088,0.8555219723628118,0.9756229107196515,0.3694568164348602,0.8730561764240264,0.7762968835830688,0.9676753768920898,262.2516354000545,676.55078125,864.0,38.80530548095703,43.0099983215332,38.88961410522461,21.05384635925293,99.0,2248.146240234375,2260.0,47.79999923706055,52.0,130
12,0.12381218133623698,0.9463846242333961,0.898430346621303,0.9830581484817145,0.15202005565166474,0.9298707934526297,0.8708956012359033,0.9790634008554312,0.39300341260433197,0.8634598212242126,0.7615389941930771,0.9660481300354004,260.1859121999587,676.55078125,864.0,39.70845031738281,45.220001220703125,39.80723190307617,24.279069900512695,100.0,2246.410888671875,2255.0,45.906978607177734,53.0,129
13,0.12253332701353324,0.946836451493849,0.899231461441423,0.9831897236230805,0.18168055713176728,0.9188091479814969,0.8518147697815528,0.9753575691810021,0.4066903387904167,0.8608556966781616,0.7572821354866028,0.9652826881408691,259.3127737999894,676.55078125,864.0,39.19496154785156,43.75,39.284786224365234,24.744186401367188,100.0,2246.56591796875,2256.0,45.1860466003418,49.0,129
14,0.12044088048204052,0.9477336294069065,0.9008308524691214,0.98347899294275,0.14375764191150664,0.931751732642834,0.8741984688318692,0.9793426073514498,0.32859033608436583,0.8824290890693665,0.7908195288181304,0.9698716239929199,256.65044329996454,676.55078125,864.0,39.71188735961914,44.2599983215332,39.80398178100586,24.039369583129883,100.0,2245.9921875,2257.0,47.960628509521484,53.0,127
15,0.11912288949694053,0.9482190397780711,0.9017152796814761,0.9836451875881886,0.18614842057228087,0.9256561260956985,0.863382509121528,0.978297600379357,0.6537900621891022,0.8118431043624877,0.6871470845937729,0.9560457954406738,259.10131890000775,676.55078125,864.0,39.45038986206055,43.2599983215332,39.55832290649414,22.9921875,99.0,2244.4296875,2254.0,43.5546875,46.0,128
16,0.11770666384414948,0.9487769890019274,0.9027177195145389,0.9838209584003358,0.15651192903518676,0.9320737031789926,0.8751660218605628,0.9805663182185247,0.40789562577009203,0.8678445982933044,0.7687117223739623,0.9672716941833496,254.53985489998013,676.55078125,864.0,39.57126998901367,45.099998474121094,39.66706466674805,24.341270446777344,91.0,2244.3095703125,2250.0,49.0476188659668,52.0,126
17,0.11748186875999474,0.9485613695514483,0.9024502063595404,0.9837856311497726,0.1628071928024292,0.9298731134488032,0.8708261480698218,0.9789899679330679,0.6519315086007118,0.8132166004180909,0.6897386976480484,0.9558791847229003,255.93542599998182,676.55078125,864.0,39.886375427246094,44.0,39.97016525268555,22.10236167907715,78.0,2243.48828125,2252.0,43.57480239868164,46.0,127
18,0.11672860925981363,0.9493510591702199,0.9037734415587477,0.9839897193307952,0.15461209952831267,0.9327091437119704,0.8760188588729272,0.9803102933443509,0.38001999390125274,0.8738918664455414,0.7774989836215973,0.9684654846191406,255.66384590003872,676.55078125,864.0,38.953468322753906,43.959999084472656,39.0428581237793,23.66929054260254,90.0,2240.732177734375,2251.0,47.71653366088867,51.0,127
19,0.11545132792395521,0.9497742429962308,0.9045188274439864,0.9841233933065819,0.14945015490055083,0.9282762454106257,0.8680526063992426,0.9782275419968826,0.3633262605667114,0.8797312281131744,0.7866258580684662,0.9693844299316406,255.54156509996392,676.55078125,864.0,39.918975830078125,44.90999984741211,40.01789093017578,25.22834587097168,84.0,2240.43310546875,2247.0,46.25196838378906,53.0,127
20,0.11441142480322855,0.9501703683081575,0.9052366244746005,0.9842634482646552,0.14027371406555175,0.9358876393391535,0.8811097970375648,0.9810945804302509,0.3703928871154785,0.8738386297225952,0.7776416976451874,0.9682838859558105,260.3789553999668,676.55078125,864.0,39.014808654785156,45.400001525878906,39.103668212890625,22.248062133789062,95.0,2240.3642578125,2244.0,44.85271453857422,49.0,129
21,0.1129443804072946,0.9506942398670152,0.9061966619388325,0.9844312968216543,0.13822169840335846,0.9333786689318143,0.8769466556035556,0.9797340539785532,0.3467938768863678,0.8804293508529664,0.787769493341446,0.9695953903198242,258.981884000008,676.55078125,864.0,39.43898391723633,47.150001525878906,39.536529541015625,23.2421875,89.0,2240.421875,2250.0,48.34375,53.0,128
22,0.11264853182025235,0.950841120260907,0.9064711865008347,0.984455119906448,0.14371942937374116,0.9337658286094666,0.8776938044107877,0.9799043215238131,0.39440095537900927,0.8718528492450714,0.7743827505111694,0.9677038116455078,257.2637681000051,676.55078125,864.0,38.163204193115234,44.33000183105469,38.287513732910156,22.4296875,100.0,2225.8046875,2250.0,43.2578125,45.0,128
23,0.1127274783448435,0.9508961311240834,0.9065494014052894,0.9844769530408964,0.1475144612789154,0.9256751720721905,0.8634771612974314,0.9769739737877479,0.3630108999609947,0.8719289989471436,0.7746171110868454,0.9673980979919433,250.8963201000006,676.55078125,864.0,35.762081146240234,39.119998931884766,35.80495071411133,18.128000259399414,96.0,2209.751953125,2215.0,48.608001708984375,51.0,125
24,0.11190033091912427,0.9511691626366667,0.9070418182555147,0.9845756358049047,0.15441228032112123,0.9334193376394418,0.8771986686266385,0.9808111924391526,0.4879268384575844,0.8463925800323486,0.7362426555156708,0.9628501892089844,248.0088681000052,676.55078125,864.0,36.502925872802734,40.400001525878906,36.558349609375,22.357723236083984,97.0,2210.430908203125,2217.0,46.81300735473633,53.0,123
25,0.11034430274827073,0.9516739210509878,0.9079584872394096,0.9847486094226987,0.13761381447315216,0.9348392486572266,0.8793236017227173,0.9801126626821665,0.33499835354089735,0.8850552468299866,0.7948976747989654,0.9704801788330079,249.29458670003805,676.55078125,864.0,36.45266342163086,40.439998626708984,36.51170349121094,22.580644607543945,99.0,2208.814453125,2219.0,43.85483932495117,47.0,124
26,0.10979839470540437,0.9519333340755598,0.9084340660121497,0.9848065620332253,0.14741925060749053,0.9358399281134973,0.8811576228875381,0.981196036705604,0.37811672312021255,0.8763354191780091,0.7814593732357025,0.9690459213256836,250.35471569997026,676.55078125,864.0,35.927738189697266,39.79999923706055,35.98306655883789,19.620967864990234,87.0,2207.911376953125,2213.0,50.024192810058594,52.0,124
27,0.10943341669761941,0.952233282951858,0.908971544443153,0.9849117196451022,0.13294522047042848,0.9387522156421955,0.8862866254953238,0.9815877767709585,0.37393619525432586,0.8782569742202759,0.7845014081001281,0.9692582321166993,251.43384529999457,676.55078125,864.0,36.91279983520508,47.18000030517578,36.98185729980469,17.29599952697754,78.0,2206.679931640625,2213.0,44.52799987792969,52.0,125
28,0.1086203042452649,0.9524891140658086,0.9094571773930797,0.9850046428169791,0.13603598713874818,0.9372913424785321,0.8836630078462454,0.9812693962684045,0.36065587240457536,0.8782007968425751,0.7842495441436768,0.9692889633178711,251.44083030003821,676.55078125,864.0,36.041038513183594,40.279998779296875,36.0942497253418,25.399999618530273,100.0,2207.06396484375,2211.0,45.58399963378906,49.0,125
29,0.10778093894327609,0.9528056975659422,0.9100046581405354,0.9850752841769241,0.14163985788822175,0.9371641003168546,0.8834986595007089,0.9816336264977088,0.40073692619800566,0.8690666661262513,0.7700835237503052,0.9674319534301757,248.95463480002945,676.55078125,864.0,36.03806686401367,40.20000076293945,36.09346389770508,26.50806427001953,100.0,2207.29833984375,2211.0,49.50806427001953,53.0,124
